Date,Adj Close,Close,High,Low,Open,Volume,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate,SMA10,SMA20,SMA50,EMA10,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Log_Return,Volatility,Lag1,Lag2,Lag3
2023-03-15,95.26525115966795,96.11000061035156,96.93000030517578,92.63999938964844,93.22000122070312,50622100,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,93.3029998779297,92.67900009155274,94.32239990234375,93.25872393769528,93.45303720209006,64.09287261468188,-0.3769347015728215,-0.700134584174201,0.32319988260137955,92.67900009155274,97.22668954723173,88.13131063587375,0.022773218706492404,0.022517779800422154,0.017119739129293352,93.97000122070312,91.11000061035156,90.62999725341795
2023-03-16,99.43826293945312,100.31999969482422,101.19000244140624,95.5,96.1999969482422,65492000,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,94.1349998474121,92.84799995422364,94.5463998413086,94.54259225717327,94.10703362996951,76.68097708635004,0.2162824738948359,-0.5168511725603937,0.7331336464552296,92.84799995422364,98.23598936382187,87.4600105446254,0.04380396480841564,0.042871698656842046,0.019004620236659154,96.11000061035156,93.97000122070312,91.11000061035156
2023-03-17,100.7268295288086,101.62000274658205,102.83999633789062,100.0999984741211,100.26000213623048,61028500,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,94.93199996948242,93.15349998474122,94.81719985961914,95.8293941643385,94.82255449821832,77.2875073529933,0.782292954827156,-0.25702234708288374,1.0393153019100398,93.15349998474122,99.73720736967319,86.56979259980925,0.012958563155028635,0.012875319350965692,0.018736076580126815,100.31999969482422,96.11000061035156,93.97000122070312
2023-03-20,100.33036041259766,101.22000122070312,101.75,99.87000274658205,100.12000274658205,32960400,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,95.54100036621094,93.49700012207032,95.11759994506836,96.80950453822297,95.43183513845497,75.66697525816753,1.1849244867715072,0.031367019687994435,1.1535574670835127,93.49700012207032,100.99670819480602,85.99729204933462,-0.003936247934143822,-0.003944015347720554,0.018468581464881315,101.62000274658205,100.31999969482422,96.11000061035156
2023-03-21,103.99783325195312,104.91999816894533,105.0999984741211,101.22000122070312,101.25,42110300,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,96.64700012207031,94.15349998474122,95.46919998168946,98.28413974380885,96.33546971278739,78.95783196516089,1.7820295804706348,0.3814995318445225,1.4005300486261123,94.15349998474122,103.16948458848809,85.13751538099434,0.03655401011282966,0.03590175970092792,0.018366094723772274,101.22000122070312,101.62000274658205,100.31999969482422
2023-03-22,102.46146392822266,103.37000274658205,106.58999633789062,103.33000183105467,104.2699966430664,43427400,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,97.55900039672852,94.73950004577637,95.77620010375976,99.20884210794944,97.00542523981544,72.69462040785744,2.105892573687754,0.7263781402131688,1.3795144334745852,94.73950004577637,104.55813318546575,84.92086690608699,-0.014773117131277824,-0.014883326395969086,0.01891534263992096,104.91999816894533,101.22000122070312,101.62000274658205
2023-03-23,104.6718521118164,105.5999984741211,106.3000030517578,104.45999908447266,105.05999755859376,40797800,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,98.8870002746582,95.475,96.11980010986328,100.37087053816245,97.82395602403503,73.31252786977572,2.513524007337466,1.0838073136380282,1.4297166936994379,95.475,106.23788908223526,84.71211091776473,0.021572948324341423,0.021343545671759032,0.01888958193822663,103.37000274658205,104.91999816894533,101.22000122070312
2023-03-24,104.51327514648438,105.44000244140624,105.48999786376952,103.83999633789062,104.98999786376952,30393300,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,100.36800079345703,96.29050025939941,96.39820022583008,101.29253088420677,98.54929377807038,71.20528477801776,2.791485999668822,1.425343050844187,1.366142948824635,96.29050025939941,107.49181937321111,85.0891811455877,-0.0015151139680562586,-0.001516262913893595,0.017941648948819285,105.5999984741211,103.37000274658205,104.91999816894533
2023-03-27,101.55944061279295,102.45999908447266,104.76000213623048,101.93000030517578,104.62000274658205,31120900,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,101.50300064086915,96.92000007629395,96.62480026245117,101.50479782970964,98.92174190248966,66.52574862343945,2.73972961761271,1.6882203641978917,1.0515092534148183,96.92000007629395,108.0166557035865,85.8233444490014,-0.028262550151111676,-0.028669624333061493,0.019744774122271914,105.44000244140624,105.5999984741211,103.37000274658205
2023-03-28,100.14200592041016,101.02999877929688,102.4499969482422,99.73999786376952,102.44000244140624,32057900,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,102.20900039672851,97.4685001373291,96.80300018310547,101.41847072963459,99.12252827170938,62.52771506097874,2.5538836572685426,1.8613530228120219,0.6925306344565207,97.4685001373291,108.2164281871799,86.7205720874783,-0.01395666911920257,-0.014054979218534963,0.020264015931763094,102.45999908447266,105.44000244140624,105.5999984741211
2023-03-29,100.49884796142578,101.38999938964844,102.48999786376952,100.6500015258789,102.27999877929688,28779600,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,102.7370002746582,98.02000007629394,97.0050001525879,101.41329412236439,99.3384779019893,67.79129159464532,2.4078917580267216,1.970660769854962,0.43723098817175954,98.02000007629394,108.35618734738941,87.68381280519847,0.0035633041146323485,0.003556970587588478,0.020262498829625095,101.02999877929688,102.45999908447266,105.44000244140624
2023-03-30,100.00323486328124,100.88999938964844,101.16000366210938,99.77999877929688,100.91000366210938,33086200,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,102.79400024414062,98.46450004577636,97.20040008544922,101.31814962550695,99.48624185319493,71.11111948356209,2.2261842385862707,2.021765463601224,0.2044187749850468,98.46450004577636,108.46996734460505,88.45903274694767,-0.004931452835683192,-0.004943652574034168,0.02018939418117412,101.38999938964844,101.02999877929688,102.45999908447266
2023-03-31,102.81829071044922,103.7300033569336,103.88999938964844,101.04000091552734,101.3000030517578,36863400,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,103.00500030517578,98.9685001373291,97.41400009155274,101.75666848576633,99.89040961545575,73.66842577751295,2.285004199507952,2.0744132107825695,0.21059098872538273,98.9685001373291,108.96834584823017,88.96865442642803,0.028149509212669788,0.027760593435346734,0.02066242030545456,100.88999938964844,101.38999938964844,101.02999877929688
2023-04-03,103.44275665283205,104.36000061035156,104.52999877929688,101.93000030517578,102.38999938964844,25035400,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,103.31900024414062,99.43000030517578,97.54080017089844,102.23000159932728,100.31608494830297,71.2648434396556,2.3553044717333904,2.130591462972734,0.22471300876065659,99.43000030517578,109.53533883708197,89.3246617732696,0.0060734332693517246,0.006055064311086697,0.02051676679549292,103.7300033569336,100.88999938964844,101.38999938964844
2023-04-04,103.79959106445312,104.72000122070312,105.58000183105467,104.04000091552734,104.33000183105467,24420100,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,103.2990005493164,99.97300033569336,97.63940017700196,102.68272880321379,100.73550554567441,69.00662898564391,2.4122599533998113,2.1869251610581495,0.22533479234166176,99.97300033569336,109.9848049465055,89.96119572488121,0.0034496033752979827,0.0034436671414255896,0.020071959511596394,104.36000061035156,103.7300033569336,100.88999938964844
2023-04-05,103.55178833007812,104.47000122070312,106.0999984741211,103.66000366210938,105.77999877929688,28290500,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,103.40900039672852,100.48400039672852,97.77480026245117,103.0076874245755,101.09117180043906,61.102200850296036,2.4094500321595262,2.231430135278425,0.1780198968811013,100.48400039672852,110.30738777266379,90.66061302079325,-0.0023873185359606364,-0.0023901727243327772,0.02015125969319675,104.72000122070312,104.36000061035156,103.7300033569336
2023-04-06,107.46707153320312,108.41999816894533,109.16999816894533,104.33000183105467,105.26000213623048,48711500,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,103.69100036621094,101.28900032043457,98.03880020141601,103.99174392355181,101.78915526410631,65.93251879195229,2.6948898785443447,2.324122083931609,0.3707677946127359,101.28900032043457,110.93252684770826,91.64547379316087,0.037809867924644136,0.03711259640951901,0.020432012959717197,104.47000122070312,104.72000122070312,104.36000061035156
2023-04-10,105.50446319580078,106.44000244140624,107.58999633789062,105.12000274658205,106.9800033569336,27067400,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,103.79100036621094,102.07950057983399,98.21720031738282,104.43688183588897,102.23209309051583,61.38744570876191,2.729865712933389,2.405270809731965,0.32459490320142415,102.07950057983399,110.56675767448658,93.5922434851814,-0.018262274128189593,-0.0184310878972471,0.020429027643276816,108.41999816894533,104.47000122070312,104.72000122070312
2023-04-11,104.42403411865234,105.3499984741211,106.7300033569336,104.68000030517578,106.5500030517578,26311800,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2026-06-30,3993807618000,173164003000,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000,271517008000,19.92,2.94,0.242,428.12,14,44,7,0,0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000,10926894000,1.17,81.105,2026-09-14,2026-09-04,104.08000030517579,102.79150047302247,98.3368002319336,104.60290304284025,102.529036460383,51.05859310288866,2.6392069679797316,2.4520580413815183,0.18714892659821336,102.79150047302247,109.63388589338918,95.94911505265576,-0.010240548123673476,-0.010293343280115058,0.020839285240845627,106.44000244140624,108.41999816894533,104.47000122070312
