Date,Adj Close,Close,High,Low,Open,Volume,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate,SMA10,SMA20,SMA50,EMA10,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Log_Return,Volatility,Lag1,Lag2,Lag3
2023-03-15,24.17839241027832,24.22800064086914,24.285999298095703,23.36000061035156,23.76099967956543,524486000,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, UNITED STATES, 95051",https://www.nvidia.com,January,2026-04-30,4759668392000,165514002000,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000,187952005000,6.54,2.145,0.852,302.83,10,48,2,1,0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000,23225466000,3.983,71.529,2026-06-26,2026-06-04,23.588500022888184,22.99064998626709,20.45718006134033,23.50772239548108,22.92668903925133,54.29747960761274,0.9068284471955934,1.0119977023930438,-0.10516925519745035,22.99064998626709,25.07363015579278,20.9076698167414,0.006857038499384238,0.006833635931523622,0.0400119158587157,24.0629997253418,22.965999603271484,22.96500015258789
2023-03-16,25.488704681396484,25.541000366210938,25.58799934387207,23.893999099731445,24.027000427246094,583253000,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, UNITED STATES, 95051",https://www.nvidia.com,January,2026-04-30,4759668392000,165514002000,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000,187952005000,6.54,2.145,0.852,302.83,10,48,2,1,0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000,23225466000,3.983,71.529,2026-06-26,2026-06-04,23.81120014190674,23.129500007629396,20.681700077056885,23.877409299250143,23.17567107039034,65.03936054318618,1.0097789200475873,1.0115539459239524,-0.0017750258763651328,23.129500007629396,25.49933946852203,20.75966054673676,0.05419348235970234,0.05277600287356863,0.0414512024474559,24.22800064086914,24.0629997253418,22.965999603271484
2023-03-17,25.67232894897461,25.725000381469727,26.39900016784668,25.667999267578125,25.98200035095215,848547000,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, UNITED STATES, 95051",https://www.nvidia.com,January,2026-04-30,4759668392000,165514002000,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000,187952005000,6.54,2.145,0.852,302.83,10,48,2,1,0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000,23225466000,3.983,71.529,2026-06-26,2026-06-04,23.994700241088868,23.31564998626709,20.90122009277344,24.213334950562793,23.418464338112187,64.89419781096802,1.093608734239485,1.027964903587059,0.06564383065242585,23.31564998626709,25.888749368255024,20.742550604279156,0.007204103700738651,0.007178278105008585,0.040367899294729656,25.541000366210938,24.22800064086914,24.0629997253418
2023-03-20,25.84696578979492,25.899999618530277,26.02400016784668,25.1299991607666,25.614999771118164,432747000,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, UNITED STATES, 95051",https://www.nvidia.com,January,2026-04-30,4759668392000,165514002000,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000,187952005000,6.54,2.145,0.852,302.83,10,48,2,1,0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000,23225466000,3.983,71.529,2026-06-26,2026-06-04,24.229300117492677,23.54124994277954,21.133920078277587,24.520001253829605,23.654801031485338,68.24361798975853,1.1607846390927854,1.0545288506882045,0.10625578840458094,23.54124994277954,26.19272880193729,20.889771083621792,0.006802691330049848,0.006779657428062971,0.039452364362006255,25.725000381469727,25.541000366210938,24.22800064086914
2023-03-21,26.145353317260746,26.198999404907227,26.392000198364254,25.381000518798828,26.18000030517578,547408000,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, UNITED STATES, 95051",https://www.nvidia.com,January,2026-04-30,4759668392000,165514002000,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000,187952005000,6.54,2.145,0.852,302.83,10,48,2,1,0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000,23225466000,3.983,71.529,2026-06-26,2026-06-04,24.520400047302246,23.818449878692626,21.360720062255858,24.825273644934626,23.8971056384779,74.52711792748062,1.2240388536137026,1.088430851273304,0.1356080023403985,23.818449878692626,26.35618683213689,21.280712925248363,0.01154439346643965,0.011478265408442512,0.038031609030748016,25.899999618530277,25.725000381469727,25.541000366210938
2023-03-22,26.413801193237305,26.468000411987305,27.589000701904297,26.23699951171875,26.424999237060547,797295000,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, UNITED STATES, 95051",https://www.nvidia.com,January,2026-04-30,4759668392000,165514002000,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000,187952005000,6.54,2.145,0.852,302.83,10,48,2,1,0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000,23225466000,3.983,71.529,2026-06-26,2026-06-04,24.749100112915038,24.104149913787843,21.577520065307617,25.1239512389442,24.14195275976451,73.22534386354731,1.2811066079642401,1.1269660026114914,0.15414060535274876,24.104149913787843,26.470016395969985,21.7382834316057,0.01026760613726685,0.010215252329925942,0.037992079420122,26.198999404907227,25.899999618530277,25.725000381469727
2023-03-23,27.13532447814941,27.19099998474121,27.499000549316406,26.690000534057617,27.114999771118164,564889000,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, UNITED STATES, 95051",https://www.nvidia.com,January,2026-04-30,4759668392000,165514002000,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000,187952005000,6.54,2.145,0.852,302.83,10,48,2,1,0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000,23225466000,3.983,71.529,2026-06-26,2026-06-04,25.1246000289917,24.280499935150146,21.80316005706787,25.499778283634566,24.432338209762293,73.79271566970992,1.3688934856042678,1.1753514992100467,0.19354198639422115,24.280499935150146,27.00660046341186,21.554399406888432,0.027315987664351837,0.026949563918896007,0.02382191094230444,26.468000411987305,26.198999404907227,25.899999618530277
2023-03-24,26.724164962768555,26.77899932861328,27.16699981689453,26.354999542236328,27.0310001373291,454920000,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, UNITED STATES, 95051",https://www.nvidia.com,January,2026-04-30,4759668392000,165514002000,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000,187952005000,6.54,2.145,0.852,302.83,10,48,2,1,0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000,23225466000,3.983,71.529,2026-06-26,2026-06-04,25.505999946594237,24.455149936676026,22.018720054626463,25.73236392817615,24.65582974489096,72.99300049607925,1.389206303373527,1.2181224600427427,0.1710838433307842,24.455149936676026,27.35500944941729,21.55529042393476,-0.01515209651572702,-0.015268062439239333,0.023780453280030076,27.19099998474121,26.468000411987305,26.198999404907227
2023-03-27,26.47667694091797,26.5310001373291,27.0,26.364999771118164,26.83699989318848,361026000,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, UNITED STATES, 95051",https://www.nvidia.com,January,2026-04-30,4759668392000,165514002000,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000,187952005000,6.54,2.145,0.852,302.83,10,48,2,1,0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000,23225466000,3.983,71.529,2026-06-26,2026-06-04,25.8625,24.606649971008302,22.219120063781737,25.8775705116585,24.834417401313637,73.18084721739744,1.3695060820547056,1.2483991844451352,0.12110689760957039,24.606649971008302,27.61132476267087,21.601975179345736,-0.009260958120238416,-0.009304107401968255,0.02405838223633117,26.77899932861328,27.19099998474121,26.468000411987305
2023-03-28,26.355920791625977,26.40999984741211,26.51300048828125,25.850000381469727,26.44700050354004,356104000,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, UNITED STATES, 95051",https://www.nvidia.com,January,2026-04-30,4759668392000,165514002000,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000,187952005000,6.54,2.145,0.852,302.83,10,48,2,1,0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000,23225466000,3.983,71.529,2026-06-26,2026-06-04,26.097200012207033,24.76634998321533,22.409340057373047,25.974375845431883,24.98447287237063,67.90937043698305,1.3288120840245945,1.264481764361027,0.06433031966356739,24.76634998321533,27.79920223882902,21.73349772760164,-0.004560713478220735,-0.004571145261603305,0.023810693391651563,26.5310001373291,26.77899932861328,27.19099998474121
