Date,Source,Headline,Description,Text
2026-07-28T06:57:53Z,The Irish Times,Chip rout deepens on circular funding and China competition fears,Losses underscore how quickly sentiment has turned on one of the market’s most crowded trades,Chip rout deepens on circular funding and China competition fears. Losses underscore how quickly sentiment has turned on one of the market’s most crowded trades
2026-07-28T06:55:44Z,Business Insider,Tiffany & Co. is proving to be LVMH's crown jewel,"LVMH reported a 9% growth in its watches and jewelry division, led by Tiffany & Co. and Bulgari.","Tiffany & Co. is proving to be LVMH's crown jewel. LVMH reported a 9% growth in its watches and jewelry division, led by Tiffany & Co. and Bulgari."
2026-07-28T06:53:37Z,RTE,Affordability challenges growing for first-time buyers,"A new property report suggests that national property prices will increase by an average of 5% over the next 12 months, up marginally on the 4% forecast six months ago.","Affordability challenges growing for first-time buyers. A new property report suggests that national property prices will increase by an average of 5% over the next 12 months, up marginally on the 4% forecast six months ago."
2026-07-28T06:49:38Z,Biztoc.com,"Stock Market Today: Asia Stocks Slide, Weighed Down by Chip Makers",Nasdaq futures drop more than 1%,"Stock Market Today: Asia Stocks Slide, Weighed Down by Chip Makers. Nasdaq futures drop more than 1%"
2026-07-28T06:47:49Z,Crypto Briefing,"China’s DUV chip tool production pressures AI, semiconductor stocks","China's DUV chip tool production could reshape global semiconductor dynamics, challenging market leaders and impacting tech stock valuations.
The post China’s DUV chip tool production pressures AI, semiconductor stocks appeared first on Crypto Briefing.","China’s DUV chip tool production pressures AI, semiconductor stocks. China's DUV chip tool production could reshape global semiconductor dynamics, challenging market leaders and impacting tech stock valuations.
The post China’s DUV chip tool production pressures AI, semiconductor stocks appeared first on Crypto Briefing."
2026-07-28T06:43:05Z,The Times of India,"Which ITR form should I file as I am a homemaker who has Rs 98,000 dividend income and paid Rs 4000 TDS?","ET Wealth Reader's Query: I am 43, a homemaker, with mutual fund investments of Rs 35 lakh and stock investments of Rs 50 lakh, mostly invested from my husband’s income. During FY2025 26, I received dividend income of Rs 98,000, on which TDS of Rs 4,000 was d…","Which ITR form should I file as I am a homemaker who has Rs 98,000 dividend income and paid Rs 4000 TDS?. ET Wealth Reader's Query: I am 43, a homemaker, with mutual fund investments of Rs 35 lakh and stock investments of Rs 50 lakh, mostly invested from my husband’s income. During FY2025 26, I received dividend income of Rs 98,000, on which TDS of Rs 4,000 was d…"
2026-07-28T06:41:16Z,Prtimes.jp,【2026年8月7日オープン】博多駅前「明治公園」にpain stockとLANDICがプロデュースするベーカリー・パンビストロ「Land Bageri」が誕生,"[株式会社LANDICホールディングス]
[画像1: https://prcdn.freetls.fastly.net/release_image/153485/7/153485-7-3b7504d402294ab90969dd90159d6d3b-3900x2194.jpg?width=536&quality=85%2C75&format=jpeg&auto=webp&fit=bounds&am...","【2026年8月7日オープン】博多駅前「明治公園」にpain stockとLANDICがプロデュースするベーカリー・パンビストロ「Land Bageri」が誕生. [株式会社LANDICホールディングス]
[画像1: https://prcdn.freetls.fastly.net/release_image/153485/7/153485-7-3b7504d402294ab90969dd90159d6d3b-3900x2194.jpg?width=536&quality=85%2C75&format=jpeg&auto=webp&fit=bounds&am..."
2026-07-28T06:39:40Z,Financial Post,Risk Events Are Everywhere You Look This Week,Thoughts of a summer lull must be far from the minds of equity investors buckling their seatbelts for a bumpy ride through this week’s long list of risk events.,Risk Events Are Everywhere You Look This Week. Thoughts of a summer lull must be far from the minds of equity investors buckling their seatbelts for a bumpy ride through this week’s long list of risk events.
2026-07-28T06:38:53Z,The Times of India,Govt extends NTPC Chairman Gurdeep Singh's term by six months,"The government has extended the tenure of NTPC Chairman and Managing Director Gurdeep Singh by six months beyond July 31, or until further orders or a successor is appointed. Singh has led the state-run power producer since 2016 and was previously granted a p…","Govt extends NTPC Chairman Gurdeep Singh's term by six months. The government has extended the tenure of NTPC Chairman and Managing Director Gurdeep Singh by six months beyond July 31, or until further orders or a successor is appointed. Singh has led the state-run power producer since 2016 and was previously granted a p…"
2026-07-28T06:36:50Z,The Times of India,US Stock Market: Wall Street divided on Fed as rising crude prices boost rate hike expectations,"The US Federal Reserve's policy meeting has become harder to predict as surging oil prices and renewed geopolitical tensions raise the risk of persistent inflation. While most brokerages still expect rates to remain unchanged, some now see a growing possibili…","US Stock Market: Wall Street divided on Fed as rising crude prices boost rate hike expectations. The US Federal Reserve's policy meeting has become harder to predict as surging oil prices and renewed geopolitical tensions raise the risk of persistent inflation. While most brokerages still expect rates to remain unchanged, some now see a growing possibili…"
2026-07-28T06:35:07Z,Biztoc.com,Shein Long-Awaited IPO Just Got Harder To Sell As Tariffs Bite,"Shein has spent the better part of three years chasing a stock market listing, first in New York, then in London and now, finally, in Hong Kong. But the numbers it revealed to prospective investors this week suggest that the pitch has gotten considerably toug…","Shein Long-Awaited IPO Just Got Harder To Sell As Tariffs Bite. Shein has spent the better part of three years chasing a stock market listing, first in New York, then in London and now, finally, in Hong Kong. But the numbers it revealed to prospective investors this week suggest that the pitch has gotten considerably toug…"
2026-07-28T06:31:09Z,Crypto Briefing,AI investment boom faces potential slowdown amid capital spending shift,"The potential slowdown in AI investment could impact economic growth and stock market performance, affecting key tech players' strategies.
The post AI investment boom faces potential slowdown amid capital spending shift appeared first on Crypto Briefing.","AI investment boom faces potential slowdown amid capital spending shift. The potential slowdown in AI investment could impact economic growth and stock market performance, affecting key tech players' strategies.
The post AI investment boom faces potential slowdown amid capital spending shift appeared first on Crypto Briefing."
2026-07-28T06:31:00Z,GlobeNewswire,Alstom S.A.: Alstom and its partners reach financial close for Israel’s Haifa-Nazareth light rail project,"Alstom and its partners reach financial close for Israel’s Haifa-Nazareth light rail project  Financial close marks a major milestone, enabling the project...","Alstom S.A.: Alstom and its partners reach financial close for Israel’s Haifa-Nazareth light rail project. Alstom and its partners reach financial close for Israel’s Haifa-Nazareth light rail project  Financial close marks a major milestone, enabling the project..."
2026-07-28T06:30:11Z,Silodrome.com,For Sale: An Ex-Elvis Presley 1964 Honda CL72 Scrambler,"This is a 1964 Honda CL72 Scrambler with a history that’s a little more special than most, it was delivered new to Elvis Presley...
The post For Sale: An Ex-Elvis Presley 1964 Honda CL72 Scrambler appeared first on Silodrome.","For Sale: An Ex-Elvis Presley 1964 Honda CL72 Scrambler. This is a 1964 Honda CL72 Scrambler with a history that’s a little more special than most, it was delivered new to Elvis Presley...
The post For Sale: An Ex-Elvis Presley 1964 Honda CL72 Scrambler appeared first on Silodrome."
2026-07-28T06:24:24Z,The Times of India,Tata Power shares get Equal Weight rating from Morgan Stanley with target price of Rs 399,"Tata Power shares traded lower despite Wall Street brokerage Morgan Stanley retaining its ""Equal Weight"" rating and Rs 399 target price following the company's Q1 FY27 results. The company reported double-digit profit growth, record quarterly capital expendit…","Tata Power shares get Equal Weight rating from Morgan Stanley with target price of Rs 399. Tata Power shares traded lower despite Wall Street brokerage Morgan Stanley retaining its ""Equal Weight"" rating and Rs 399 target price following the company's Q1 FY27 results. The company reported double-digit profit growth, record quarterly capital expendit…"
2026-07-28T06:22:00Z,PRNewswire,From Cross-Border Remittance to Financial Asset Management: BiyaPay Explores a New Path for Global Asset Allocation,"SINGAPORE, July 27, 2026 /PRNewswire/ -- Recently, BiyaPay officially launched multilingual services to provide global users with a more localized product experience. For a platform focused on cross-border fund flows and multi-asset allocation, multilingual c…","From Cross-Border Remittance to Financial Asset Management: BiyaPay Explores a New Path for Global Asset Allocation. SINGAPORE, July 27, 2026 /PRNewswire/ -- Recently, BiyaPay officially launched multilingual services to provide global users with a more localized product experience. For a platform focused on cross-border fund flows and multi-asset allocation, multilingual c…"
2026-07-28T06:20:00Z,Forbes,Shein Long-Awaited IPO Just Got Harder To Sell As Tariffs Bite,"From New York to London to Hong Kong, Shein has seen its IPO bounce continents and its value miss recent peaks. Now it awaits investor appetite in a likely Fall listing.","Shein Long-Awaited IPO Just Got Harder To Sell As Tariffs Bite. From New York to London to Hong Kong, Shein has seen its IPO bounce continents and its value miss recent peaks. Now it awaits investor appetite in a likely Fall listing."
2026-07-28T06:16:04Z,CNBC,CNBC Daily Open: Chipping away at the AI boom,Another sharp sell-off in AI-related stocks shows the cracks could be worsening in the tech bull market.,CNBC Daily Open: Chipping away at the AI boom. Another sharp sell-off in AI-related stocks shows the cracks could be worsening in the tech bull market.
2026-07-28T06:11:42Z,Economictimes.com,From AI boom to valuation worries: Why investors are rethinking big tech bets,"Nvidia shares tumbled nearly 5% on Monday, dragging semiconductor stocks lower as investors grew cautious about the sustainability of the AI investment boom. The decline pushed Nvidia below Apple in market capitalisation, ending its run as the world’s most va…","From AI boom to valuation worries: Why investors are rethinking big tech bets. Nvidia shares tumbled nearly 5% on Monday, dragging semiconductor stocks lower as investors grew cautious about the sustainability of the AI investment boom. The decline pushed Nvidia below Apple in market capitalisation, ending its run as the world’s most va…"
2026-07-28T06:10:02Z,RTE,LVMH sales tick up as US luxury demand offsets war hit,"Sales at luxury giant LVMH edged higher in the second quarter as strong demand from affluent US shoppers helped offset weaker spending in Europe, where tourism has been hit by the Iran war.","LVMH sales tick up as US luxury demand offsets war hit. Sales at luxury giant LVMH edged higher in the second quarter as strong demand from affluent US shoppers helped offset weaker spending in Europe, where tourism has been hit by the Iran war."
2026-07-28T06:05:00Z,Biztoc.com,Tesla Is Down 30% This Year. Here's Why I'm Still Waiting on the Sidelines,"Even with shares of Tesla (NASDAQ: TSLA) down over 30% this year, I'm still not ready to buy the stumbling stock. It's been a brutal 2026 for Tesla's investors, but the stock is still trading at an incredible premium, with its trailing P/E ratio sitting aroun…","Tesla Is Down 30% This Year. Here's Why I'm Still Waiting on the Sidelines. Even with shares of Tesla (NASDAQ: TSLA) down over 30% this year, I'm still not ready to buy the stumbling stock. It's been a brutal 2026 for Tesla's investors, but the stock is still trading at an incredible premium, with its trailing P/E ratio sitting aroun…"
2026-07-28T06:04:53Z,Biztoc.com,Chinese RAM company CXMT makes a $484 billion stock market debut,"The China-based memory firm ChangXin Memory Technologies (CXMT) had a massive first day on the Shanghai stock exchange after its shares surged 466 percent, as reported earlier by The Wall Street Journal and CNBC. The stock market frenzy boosted CXMT’s valuati…","Chinese RAM company CXMT makes a $484 billion stock market debut. The China-based memory firm ChangXin Memory Technologies (CXMT) had a massive first day on the Shanghai stock exchange after its shares surged 466 percent, as reported earlier by The Wall Street Journal and CNBC. The stock market frenzy boosted CXMT’s valuati…"
2026-07-28T06:03:00Z,GlobeNewswire,Stellantis Announces Agreement to Sell Free2move’s Car-sharing Business to Mutares,"Stellantis signs agreement to sell Free2move car-sharing business to Mutares, sharpening focus on core automotive activities....","Stellantis Announces Agreement to Sell Free2move’s Car-sharing Business to Mutares. Stellantis signs agreement to sell Free2move car-sharing business to Mutares, sharpening focus on core automotive activities...."
2026-07-28T06:00:00Z,Naturalnews.com,"Bitcoin Dips Below $65,000 as Iran Conflict Spurs Oil Price Surge, Bond Yields Rise","Bitcoin’s price dropped below $65,000 on Tuesday, according to market data, as reports of military escalation between Iran and Israel triggered a spike in crude oil prices and a jump in U.S. Treasury bond yields. The decline marked a sharp reversal from weeks…","Bitcoin Dips Below $65,000 as Iran Conflict Spurs Oil Price Surge, Bond Yields Rise. Bitcoin’s price dropped below $65,000 on Tuesday, according to market data, as reports of military escalation between Iran and Israel triggered a spike in crude oil prices and a jump in U.S. Treasury bond yields. The decline marked a sharp reversal from weeks…"
2026-07-28T06:00:00Z,GlobeNewswire,Equinor ASA: Share buy-back – third tranche for 2026,"Please see below information about transactions made under the third tranche of the 2026 share buy-back programme for Equinor ASA (OSE:EQNR, NYSE:EQNR, CEUX:EQNRO, TQEX:EQNRO).","Equinor ASA: Share buy-back – third tranche for 2026. Please see below information about transactions made under the third tranche of the 2026 share buy-back programme for Equinor ASA (OSE:EQNR, NYSE:EQNR, CEUX:EQNRO, TQEX:EQNRO)."
2026-07-28T06:00:00Z,GlobeNewswire,Progress on share buyback programme,"Progress on share buyback programme  ING announced today that, as part of our €1.0 billion share buyback programme announced on 30 April 2026, in total...","Progress on share buyback programme. Progress on share buyback programme  ING announced today that, as part of our €1.0 billion share buyback programme announced on 30 April 2026, in total..."
2026-07-28T06:00:00Z,GlobeNewswire,RENK successfully refinances and expands financial flexibility,RENK successfully refinances and expands financial flexibility  New unsecured financing replaces previous IPO structure and significantly reduces annual...,RENK successfully refinances and expands financial flexibility. RENK successfully refinances and expands financial flexibility  New unsecured financing replaces previous IPO structure and significantly reduces annual...
2026-07-28T05:55:18Z,The Times of India,ET Alpha Wealth Summit 2.0: Where will the next wave of wealth creation come from?,"The next phase of wealth creation will be shaped by sharper capital allocation, broader investment perspectives and conversations that look beyond market cycles. As Alpha Wealth Summit returns for its second edition, investors will come together to explore th…","ET Alpha Wealth Summit 2.0: Where will the next wave of wealth creation come from?. The next phase of wealth creation will be shaped by sharper capital allocation, broader investment perspectives and conversations that look beyond market cycles. As Alpha Wealth Summit returns for its second edition, investors will come together to explore th…"
