ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-03-15,157.88535978000002,155.2705495123088,169.98388475346104,157.88535978000002,157.88535978000002,4.903343101071183,4.903343101071183,4.903343101071183,1.022899952412984,1.022899952412984,1.022899952412984,3.880443148658199,3.880443148658199,3.880443148658199,0.0,0.0,0.0,162.7887028810712
2023-03-16,158.30351102227831,155.1303777806025,170.55993282173262,158.30351102227831,158.30351102227831,4.287664881059991,4.287664881059991,4.287664881059991,1.0291160953501337,1.0291160953501337,1.0291160953501337,3.258548785709857,3.258548785709857,3.258548785709857,0.0,0.0,0.0,162.5911759033383
2023-03-17,158.72166226455656,155.23593547131793,170.43630362873006,158.72166226455656,158.72166226455656,3.944833422405399,3.944833422405399,3.944833422405399,1.2495346665067852,1.2495346665067852,1.2495346665067852,2.6952987558986137,2.6952987558986137,2.6952987558986137,0.0,0.0,0.0,162.66649568696195
2023-03-20,159.97611599139145,155.12785540339513,169.73678064984742,159.97611599139145,159.97611599139145,2.50177294018529,2.50177294018529,2.50177294018529,1.193795225655107,1.193795225655107,1.193795225655107,1.307977714530183,1.307977714530183,1.307977714530183,0.0,0.0,0.0,162.47788893157673
2023-03-21,160.39426723366972,155.53275564545112,169.46524610691262,160.39426723366972,160.39426723366972,2.11652991778942,2.11652991778942,2.11652991778942,1.192585167569152,1.192585167569152,1.192585167569152,0.9239447502202681,0.9239447502202681,0.9239447502202681,0.0,0.0,0.0,162.51079715145914
2023-03-22,160.81241847594802,154.92261553634333,169.52680947581655,160.81241847594802,160.81241847594802,1.5886595574637596,1.5886595574637596,1.5886595574637596,1.0228999524134128,1.0228999524134128,1.0228999524134128,0.5657596050503466,0.5657596050503466,0.5657596050503466,0.0,0.0,0.0,162.40107803341178
2023-03-23,161.23056971822632,154.88708092661227,169.68040624139596,161.23056971822632,161.23056971822632,1.2537798478126698,1.2537798478126698,1.2537798478126698,1.029116095349934,1.029116095349934,1.029116095349934,0.22466375246273587,0.22466375246273587,0.22466375246273587,0.0,0.0,0.0,162.484349566039
2023-03-24,161.6487209605046,155.14873872695895,170.24252281679668,161.6487209605046,161.6487209605046,1.1413266926801664,1.1413266926801664,1.1413266926801664,1.2495346665068678,1.2495346665068678,1.2495346665068678,-0.10820797382670132,-0.10820797382670132,-0.10820797382670132,0.0,0.0,0.0,162.79004765318476
2023-03-27,162.90317468733946,155.79034730204825,170.3927911503588,162.90317468733946,162.90317468733946,0.051948132393219146,0.051948132393219146,0.051948132393219146,1.1937952256427755,1.1937952256427755,1.1937952256427755,-1.1418470932495564,-1.1418470932495564,-1.1418470932495564,0.0,0.0,0.0,162.95512281973268
2023-03-28,163.32132592961773,155.57795315107165,170.41124293798197,163.32132592961773,163.32132592961773,-0.3303248676302986,-0.3303248676302986,-0.3303248676302986,1.192585167567849,1.192585167567849,1.192585167567849,-1.5229100351981475,-1.5229100351981475,-1.5229100351981475,0.0,0.0,0.0,162.99100106198742
2023-03-29,163.73947717189603,155.38163960660336,169.9928930010048,163.73947717189603,163.73947717189603,-0.9092837147264857,-0.9092837147264857,-0.9092837147264857,1.0228999524131457,1.0228999524131457,1.0228999524131457,-1.9321836671396315,-1.9321836671396315,-1.9321836671396315,0.0,0.0,0.0,162.83019345716954
2023-03-30,164.15762841417433,155.03618612190613,170.5290461460765,164.15762841417433,164.15762841417433,-1.3446286950365312,-1.3446286950365312,-1.3446286950365312,1.0291160953476362,1.0291160953476362,1.0291160953476362,-2.373744790384167,-2.373744790384167,-2.373744790384167,0.0,0.0,0.0,162.8129997191378
2023-03-31,164.5757796564526,155.96833074165306,170.43574495419355,164.5757796564526,164.5757796564526,-1.6006659251374562,-1.6006659251374562,-1.6006659251374562,1.249534666501363,1.249534666501363,1.249534666501363,-2.850200591638819,-2.850200591638819,-2.850200591638819,0.0,0.0,0.0,162.97511373131513
