Date,Close,High,Low,Open,Volume,Year,Month,Day,DayOfWeek,Quarter,Close_Scaled,MA20,MA50,Daily_Return
2020-01-02,72.33386993408203,72.39407791515757,71.09117632272992,71.34404690340438,135480400,2020,1,2,3,1,0.0894148825395328,,,
2020-01-03,71.63065338134766,72.38927264137095,71.40668140593664,71.56322072155912,146322800,2020,1,3,4,1,0.0859543734055751,,,-0.009721815705080017
2020-01-06,72.20142364501953,72.23995764322866,70.5035611498287,70.75402846338375,118387200,2020,1,6,0,1,0.0887631180279077,,,0.00796824036538113
2020-01-07,71.86185455322266,72.46633779595872,71.6426965801033,72.21105649751387,108872000,2020,1,7,1,1,0.0870921079539787,,,-0.004703080280887173
2020-01-08,73.01783752441406,73.31887745373415,71.56562119935828,71.56562119935828,132079200,2020,1,8,2,1,0.0927806680638805,,,0.016086183391429865
2020-01-09,74.56880187988281,74.76146451044018,73.74275001069596,73.99320996049889,170108400,2020,1,9,3,1,0.1004129206007031,,,0.02124089685551378
2020-01-10,74.73736572265625,75.30091887725054,74.23643856809193,74.80239504412852,140644800,2020,1,10,4,1,0.1012424185914775,,,0.00226051429718499
2020-01-13,76.33409881591797,76.36059415429726,74.93486566437117,75.05287832688332,121532000,2020,1,13,0,1,0.1090998978163899,,,0.021364588888335367
2020-01-14,75.30332946777344,76.48100118582082,75.18051017572739,76.27147857331117,161954400,2020,1,14,1,1,0.1040275104694368,,,-0.013503393164177702
2020-01-15,74.98059844970703,75.98245997667709,74.54950731619692,75.10342506334987,121923600,2020,1,15,2,1,0.1024393600888923,,,-0.004285746996147366
2020-01-16,75.91988372802734,76.03067174908531,75.16126433399904,75.52251236445157,108829200,2020,1,16,3,1,0.1070615568679366,,,0.012527044298670686
2020-01-17,76.7603759765625,76.76277929851412,75.86207008807327,76.16792404225187,137816400,2020,1,17,4,1,0.111197595890009,,,0.01107077892197661
2020-01-21,76.24016571044922,76.83019952815127,76.10288974668396,76.3894803308505,110843200,2020,1,21,1,1,0.1086376556120622,,,-0.006777067718794383
2020-01-22,76.51231384277344,77.06381371935198,76.41838585398544,76.72423978617735,101832400,2020,1,22,2,1,0.1099768890161048,,,0.0035696162224752026
2020-01-23,76.88078308105469,76.96025438766408,76.01860061750638,76.56529382668359,104472000,2020,1,23,3,1,0.1117901159085843,,,0.0048158161709555
2020-01-24,76.65921020507812,77.86818383448923,76.46895092458591,77.12642473209515,146537600,2020,1,24,4,1,0.110699761937005,,,-0.0028820319863672728
2020-01-27,74.40502166748047,75.08416206919466,73.42483402812097,74.67234156024762,161940000,2020,1,27,0,1,0.0996069627221861,,,-0.029405319094304105
2020-01-28,76.5098876953125,76.68087628820244,75.18531223152581,75.28405419350632,162234000,2020,1,28,1,1,0.109964950011802,,,0.028289300650146565
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200,2020,1,29,2,1,0.1178460819810878,,,0.020932452785635602
2020-01-30,77.99823760986328,78.05122092954578,76.76517927864235,77.19627050016777,126743200,2020,1,30,3,1,0.1172890786231114,75.14835700988769,,-0.0014490798743258537
2020-01-31,74.5398941040039,77.71164655303768,74.24607885109228,77.29019066933044,199588400,2020,1,31,4,1,0.1002706662381139,75.25865821838379,,-0.0443387390771256
2020-02-03,74.33518981933594,75.4984048922783,72.78423148900761,73.28515870612867,173788400,2020,2,3,0,1,0.0992633221360741,75.39388504028321,,-0.0027462379324332264
2020-02-04,76.78926849365234,76.97952779146334,75.53212542449515,75.93672133535755,136616400,2020,2,4,1,1,0.1113397751645208,75.62327728271484,,0.033013686791959485
2020-02-05,77.4154281616211,78.21258127557842,76.81334832632962,77.91394467954083,118826800,2020,2,5,2,1,0.1144210895077289,75.90095596313476,,0.008154260097171129
2020-02-06,78.3209457397461,78.32335641079244,77.12883215929374,77.68515330009288,105425600,2020,2,6,3,1,0.1188771163715399,76.16611137390137,,0.011696861977363637
2020-02-07,77.25634765625,78.06987612347613,76.76629893571341,77.82123085871221,117684000,2020,2,7,4,1,0.1136382587570438,76.30048866271973,,-0.013592763384569717
2020-02-10,77.62330627441406,77.62330627441406,75.76450341427329,75.84416334192943,109348800,2020,2,10,0,1,0.1154440519298631,76.44478569030761,,0.004749883074939509
2020-02-11,77.15497589111328,78.19059906005786,76.9377141953968,78.11818095050265,94323200,2020,2,11,1,1,0.1131394111149952,76.48582954406739,,-0.00603337329699849
2020-02-12,78.98722839355469,78.9920538114317,77.60398368209574,77.60398368209574,113730400,2020,2,12,2,1,0.1221558748142086,76.67002449035644,,0.023747690687211387
2020-02-13,78.42474365234375,78.75063980830953,78.05781303227035,78.2605910618148,94747600,2020,2,13,3,1,0.1193879030178912,76.84223175048828,,-0.00712121127238885
2020-02-14,78.4440689086914,78.69271421468866,77.93712009409066,78.3933688702963,80113600,2020,2,14,4,1,0.1194830020678881,76.96844100952148,,0.00024641784528256494
2020-02-18,77.0076904296875,77.18874299339366,75.94792588727789,76.12897845098405,152531200,2020,2,18,1,1,0.1124146234481218,76.98080673217774,,-0.018310861470939854
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000,2020,2,19,2,1,0.1179030738318163,77.07494888305663,,0.014483206704636764
2020-02-20,77.3215560913086,78.37166303401608,76.81702354297988,77.88403050271104,100566000,2020,2,20,3,1,0.1139591476557108,77.1154109954834,,-0.01025885523058745
2020-02-21,75.57134246826172,77.35773378298828,74.95576665511149,76.91596137087494,129554000,2020,2,21,4,1,0.1053463950045103,77.04993896484375,,-0.022635519918663527
2020-02-24,71.981689453125,73.43011036441114,69.82113268068633,71.75960237227564,222195200,2020,2,24,0,1,0.0876818121696523,76.8160629272461,,-0.047500188535677945
2020-02-25,69.54351806640625,73.03180163978591,69.07278565467855,72.65038734565039,230673600,2020,2,25,1,1,0.0756836384618703,76.57298774719239,,-0.03387210560411347
2020-02-26,70.64673614501953,71.90927916190874,69.16210602316792,69.16934783382864,198054800,2020,2,26,2,1,0.0811125440002054,76.27983016967774,,0.01586370821159533
2020-02-27,66.02867889404297,69.04139705399142,65.8934935311334,67.85852144500781,320605600,2020,2,27,3,1,0.0583872124703876,75.67569274902344,,-0.06536830295311702
2020-02-28,65.99005889892578,67.20915102510166,61.88861568726967,62.10346834390764,426510000,2020,2,28,4,1,0.0581971645465485,75.07528381347656,,-0.0005848972865133417
2020-03-02,72.1337661743164,72.76865844299596,67.04256816593558,68.14336733709636,341397200,2020,3,2,0,1,0.0884301774928219,74.9549774169922,,0.09310049692182698
2020-03-03,69.84288787841797,73.38669078369585,68.99314253337712,73.30703084112471,319475600,2020,3,3,1,1,0.0771568289959518,74.7303623199463,,-0.03175875068497558
2020-03-04,73.08248901367188,73.24181619852034,70.76260504877715,71.56164999828624,219178400,2020,3,4,2,1,0.0930988162477234,74.54502334594727,,0.04638412347572718
2020-03-05,70.71192932128906,72.31242862903635,70.3474076125405,71.33957264179317,187572800,2020,3,5,3,1,0.0814333578107951,74.20984840393066,,-0.032436767334776184
2020-03-06,69.77288055419922,70.20499505069894,67.88993546579478,68.07581358123565,226176800,2020,3,6,4,1,0.07681232489695,73.78244514465332,,-0.013279920037581605
2020-03-09,64.25437927246094,67.1319051551366,63.48912685930832,63.670179502443226,286744800,2020,3,9,0,1,0.0496559332890489,73.13234672546386,,-0.07909235275805382
2020-03-10,68.882080078125,69.14762542571471,65.0268655374001,66.90257561810807,285290000,2020,3,10,1,1,0.0724287204837684,72.69528541564941,,0.07202156270222448
2020-03-11,66.48976135253906,67.88748961967876,65.627949126833,66.96291749628936,255598800,2020,3,11,2,1,0.0606561864485017,72.1620246887207,,-0.03473063999914938
2020-03-12,59.923587799072266,65.17894285229022,59.86806602728879,61.78481034349421,418474000,2020,3,12,3,1,0.028344228675934,71.20884265899659,,-0.09875465665535965
2020-03-13,67.1029281616211,67.57366791219874,61.06301183278901,63.94537376560975,370732000,2020,3,13,4,1,0.0636735632938241,70.64275188446045,73.73339012145996,0.11980825291405495
2020-03-16,58.47034454345703,62.5428168089279,57.93684117686896,58.40757727472599,322423600,2020,3,16,0,1,0.0211928589586477,69.64406566619873,73.45611961364746,-0.12864689894563186
2020-03-17,61.041282653808594,62.1879454731144,57.550586794967394,59.74977259300015,324056000,2020,3,17,1,1,0.0338443740276798,68.84574527740479,73.24433219909668,0.04396994973136792
2020-03-18,59.547000885009766,60.35087498179023,57.24159672400037,57.8813182089224,300233600,2020,3,18,2,1,0.0264910549262903,67.91694488525391,72.99124374389649,-0.024479855334520795
2020-03-19,59.09074401855469,61.03645549375763,58.56689890473273,59.72080725380135,271857200,2020,3,19,3,1,0.0242458275526464,67.00540428161621,72.73582153320312,-0.0076621300766456235
2020-03-20,55.33933639526367,60.7926402539027,55.03999474688709,59.67011183513416,401693200,2020,3,20,4,1,0.005785254781543,65.99380397796631,72.38225151062012,-0.06348553712766014
2020-03-23,54.16370391845703,55.16070158535809,51.32479999006741,55.05931255400759,336752800,2020,3,23,0,1,0.0,65.10290470123292,71.9741495513916,-0.021244065313859806
2020-03-24,59.59770584106445,59.793242114858536,56.56084893172045,57.05813962396852,287531200,2020,3,24,1,1,0.0267405726074113,64.60561408996583,71.67135635375976,0.10032552298838837
2020-03-25,59.26937484741211,62.342439670855896,58.97486234983203,60.53191383336734,303602000,2020,3,25,2,1,0.0251248649024697,64.03674602508545,71.33006187438964,-0.005509121349871027
2020-03-26,62.38833236694336,62.446266859922645,59.47217711965345,59.51080257065681,252087200,2020,3,26,3,1,0.0404731682704666,63.85472869873047,71.07176193237305,0.05262342529444508
2020-03-27,59.80530548095703,61.767913466106,59.63873647362711,61.01473571142301,204216800,2020,3,27,4,1,0.0277621646721333,63.54549102783203,70.76825607299804,-0.04140240310951082
2020-03-30,61.51202392578125,61.68342202785463,60.20603013475776,60.52951361729588,167976400,2020,3,30,0,1,0.036160878758773,63.014403915405275,70.48009887695312,0.028537910325826532
2020-03-31,61.38649368286133,63.366001623216455,60.83368129501873,61.70273535835759,197002000,2020,3,31,1,1,0.0355431479182187,62.59158420562744,70.1726212310791,-0.0020407431735848247
2020-04-01,58.15651321411133,60.04187380235648,57.726815314664734,59.505957782413006,176218400,2020,4,1,2,2,0.0196485036992329,61.845285415649414,69.81094818115234,-0.052617119417781466
2020-04-02,59.12695693969727,59.18006600388776,57.18848714731951,58.01891576899804,165934000,2020,4,2,3,2,0.0244240303322794,61.26603679656982,69.46324104309082,0.01668675909116346
2020-04-03,58.277225494384766,59.31284498948773,57.68820030765842,58.61277624472143,129880000,2020,4,3,4,2,0.0202425254793557,60.6912540435791,69.09116989135742,-0.014371303535528401
2020-04-06,63.36116027832031,63.5156546468286,60.201190178307634,60.56812074968202,201820400,2020,4,6,0,2,0.0452604274156031,60.64659309387207,68.82520889282226,0.08723707659050106
2020-04-07,62.6273193359375,65.5893455207901,62.52351758063344,65.3720764386448,202887200,2020,4,7,1,2,0.0416492165103514,60.333855056762694,68.58965484619141,-0.01158187348778561
2020-04-08,64.23021697998047,64.54403851459621,63.06182517929843,63.42633937506472,168895200,2020,4,8,2,2,0.0495370313185237,60.22087783813477,68.34406143188477,0.02559422407088685
2020-04-09,64.6937255859375,65.19584902236409,63.89951332637289,64.86512738575412,161834800,2020,4,9,3,2,0.0518179443009407,60.459384727478025,68.07570739746093,0.007216363695322636
2020-04-13,65.9635009765625,66.07213548949194,64.17228391165321,64.77096719479518,131022800,2020,4,13,0,2,0.0580664737478753,60.4024133682251,67.83501266479492,0.01962748905128775
2020-04-14,69.29486846923828,69.58455560243435,67.12223707141726,67.59297682109842,194994800,2020,4,14,1,2,0.074460040696987,60.94363956451416,67.73011215209961,0.05050319409000825
2020-04-15,68.66239929199219,69.12106449233013,67.7450688913163,68.17235045630129,131154400,2020,4,15,2,2,0.0713476774337839,61.32469539642334,67.61665634155274,-0.009127215206806594
2020-04-16,69.20797729492188,69.57249897577765,68.16028687860133,69.37454631683273,157125200,2020,4,16,3,2,0.0740324516403685,61.80774421691895,67.46503051757813,0.00794580452409721
